personality,subject_category,career_category
1,1,11
1,2,12
1,3,13
2,1,21
2,2,22
2,3,23
3,1,31
3,2,32
3,3,33
4,1,41
4,2,42
4,3,43
5,1,51
5,2,52
5,3,53
6,1,61
6,2,62
6,3,63
7,1,71
7,2,72
7,3,73
8,1,81
8,2,82
8,3,83
9,1,91
9,2,92
9,3,93
10,1,101
10,2,102
10,3,103
11,1,111
11,2,112
11,3,113
12,1,121
12,2,122
12,3,123
13,1,131
13,2,132
13,3,133
14,1,141
14,2,142
14,3,143
15,1,151
15,2,152
15,3,153
16,1,161
16,2,162
16,3,163
1,1,11
1,2,12
1,3,13
2,1,21
2,2,22
2,3,23
3,1,31
3,2,32
3,3,33
4,1,41
4,2,42
4,3,43
5,1,51
5,2,52
5,3,53
6,1,61
6,2,62
6,3,63
7,1,71
7,2,72
7,3,73
8,1,81
8,2,82
8,3,83
9,1,91
9,2,92
9,3,93
10,1,101
10,2,102
10,3,103
11,1,111
11,2,112
11,3,113
12,1,121
12,2,122
12,3,123
13,1,131
13,2,132
13,3,133
14,1,141
14,2,142
14,3,143
15,1,151
15,2,152
15,3,153
16,1,161
16,2,162
16,3,163

1,1,11
1,2,12
1,3,13
2,1,21
2,2,22
2,3,23
3,1,31
3,2,32
3,3,33
4,1,41
4,2,42
4,3,43
5,1,51
5,2,52
5,3,53
6,1,61
6,2,62
6,3,63
7,1,71
7,2,72
7,3,73
8,1,81
8,2,82
8,3,83
9,1,91
9,2,92
9,3,93
10,1,101
10,2,102
10,3,103
11,1,111
11,2,112
11,3,113
12,1,121
12,2,122
12,3,123
13,1,131
13,2,132
13,3,133
14,1,141
14,2,142
14,3,143
15,1,151
15,2,152
15,3,153
16,1,161
16,2,162
16,3,163

1,1,11
1,2,12
1,3,13
2,1,21
2,2,22
2,3,23
3,1,31
3,2,32
3,3,33
4,1,41
4,2,42
4,3,43
5,1,51
5,2,52
5,3,53
6,1,61
6,2,62
6,3,63
7,1,71
7,2,72
7,3,73
8,1,81
8,2,82
8,3,83
9,1,91
9,2,92
9,3,93
10,1,101
10,2,102
10,3,103
11,1,111
11,2,112
11,3,113
12,1,121
12,2,122
12,3,123
13,1,131
13,2,132
13,3,133
14,1,141
14,2,142
14,3,143
15,1,151
15,2,152
15,3,153
16,1,161
16,2,162
16,3,163

1,1,11
1,2,12
1,3,13
2,1,21
2,2,22
2,3,23
3,1,31
3,2,32
3,3,33
4,1,41
4,2,42
4,3,43
5,1,51
5,2,52
5,3,53
6,1,61
6,2,62
6,3,63
7,1,71
7,2,72
7,3,73
8,1,81
8,2,82
8,3,83
9,1,91
9,2,92
9,3,93
10,1,101
10,2,102
10,3,103
11,1,111
11,2,112
11,3,113
12,1,121
12,2,122
12,3,123
13,1,131
13,2,132
13,3,133
14,1,141
14,2,142
14,3,143
15,1,151
15,2,152
15,3,153
16,1,161
16,2,162
16,3,163

1,1,11
1,2,12
1,3,13
2,1,21
2,2,22
2,3,23
3,1,31
3,2,32
3,3,33
4,1,41
4,2,42
4,3,43
5,1,51
5,2,52
5,3,53
6,1,61
6,2,62
6,3,63
7,1,71
7,2,72
7,3,73
8,1,81
8,2,82
8,3,83
9,1,91
9,2,92
9,3,93
10,1,101
10,2,102
10,3,103
11,1,111
11,2,112
11,3,113
12,1,121
12,2,122
12,3,123
13,1,131
13,2,132
13,3,133
14,1,141
14,2,142
14,3,143
15,1,151
15,2,152
15,3,153
16,1,161
16,2,162
16,3,163

